    16.8500    1.617907E-02  1.621512E-02  8.946869E+01
    16.9000    1.791061E-02  1.904077E-02  8.988166E+01
    16.9500    1.603810E-02  2.165554E-02  9.027222E+01
    17.0000    1.059441E-02  2.399379E-02  9.064886E+01
    17.0500    2.310677E-03  2.602658E-02  9.101729E+01
    17.1000   -7.468270E-03  2.770945E-02  9.137908E+01
    17.1500   -1.709237E-02  2.901945E-02  9.173600E+01
    17.2000   -2.491657E-02  2.994189E-02  9.208919E+01
    17.2500   -2.961340E-02  3.046953E-02  9.243937E+01
    17.3000   -3.041681E-02  3.060194E-02  9.278704E+01
    17.3500   -2.725093E-02  3.034510E-02  9.313250E+01
    17.4000   -2.072233E-02  2.971097E-02  9.347593E+01
    17.4500   -1.198185E-02  2.871710E-02  9.381738E+01
    17.5000   -2.488393E-03  2.738615E-02  9.415679E+01
    17.5500    6.274975E-03  2.574545E-02  9.449399E+01
    17.6000    1.307451E-02  2.382647E-02  9.482863E+01
    17.6500    1.713550E-02  2.166436E-02  9.516014E+01
    17.7000    1.824990E-02  1.929746E-02  9.548757E+01
    17.7500    1.676629E-02  1.676701E-02  9.580929E+01
    17.8000    1.347061E-02  1.411721E-02  9.612241E+01
    17.8500    9.388475E-03  1.139632E-02  9.642126E+01
    17.9000    5.553687E-03  8.661040E-03  9.669328E+01
    17.9500    2.792415E-03  5.993842E-03  9.690474E+01
    18.0000    1.566519E-03  3.591776E-03  9.693807E+01
    18.0500    1.928914E-03  2.327581E-03  9.641255E+01
    18.1000    3.488999E-03  3.501115E-03  9.590179E+01
    18.1500    5.565422E-03  5.605195E-03  9.593777E+01
    18.2000    7.352464E-03  7.769287E-03  9.614763E+01
    18.2500    8.112375E-03  9.808244E-03  9.641545E+01
    18.3000    7.343716E-03  1.165737E-02  9.670787E+01
    18.3500    4.890780E-03  1.328272E-02  9.701229E+01
    18.4000    9.736303E-04  1.466331E-02  9.732292E+01
    18.4500   -3.863713E-03  1.578626E-02  9.763664E+01
    18.5000   -8.871713E-03  1.664508E-02  9.795151E+01
    18.5500   -1.325180E-02  1.723906E-02  9.826619E+01
    18.6000   -1.631572E-02  1.757289E-02  9.857962E+01
    18.6500   -1.761403E-02  1.765646E-02  9.889082E+01
    18.7000   -1.700856E-02  1.750474E-02  9.919883E+01
    18.7500   -1.467753E-02  1.713760E-02  9.950261E+01
    18.8000   -1.105675E-02  1.657975E-02  9.980095E+01
    18.8500   -6.734592E-03  1.586072E-02  1.000924E+02
    18.9000   -2.326611E-03  1.501492E-02  1.003754E+02
    18.9500    1.641412E-03  1.408166E-02  1.006478E+02
    19.0000    4.817419E-03  1.310537E-02  1.009074E+02
    19.0500    7.068194E-03  1.213609E-02  1.011527E+02
    19.1000    8.425010E-03  1.122404E-02  1.013800E+02
    19.1500    9.082149E-03  1.042715E-02  1.015882E+02
    19.2000    9.292718E-03  9.799345E-03  1.017788E+02
    19.2500    9.281710E-03  9.380150E-03  1.019568E+02
    19.3000    9.179249E-03  9.183072E-03  1.021306E+02
    19.3500    8.990278E-03  9.189165E-03  1.023102E+02
    19.4000    8.606683E-03  9.351241E-03  1.025035E+02
    19.4500    7.856516E-03  9.606509E-03  1.027149E+02
    19.5000    6.575293E-03  9.890066E-03  1.029453E+02
    19.5500    4.678709E-03  1.014379E-02  1.031932E+02
    19.6000    2.215831E-03  1.032005E-02  1.034562E+02
    19.6500   -6.130833E-04  1.038220E-02  1.037316E+02
    19.7000   -3.480856E-03  1.030359E-02  1.040172E+02
    19.7500   -5.995516E-03  1.006625E-02  1.043106E+02
    19.8000   -7.786031E-03  9.659713E-03  1.046100E+02
    19.8500   -8.590779E-03  9.079966E-03  1.049136E+02
    19.9000   -8.326333E-03  8.328663E-03  1.052197E+02
    19.9500   -7.118116E-03  7.412514E-03  1.055261E+02
    20.0000   -5.283111E-03  6.342912E-03  1.058298E+02
