# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -8.496816E-01  8.497103E-01 -1.579007E+00
     0.0500   -8.489418E-01  8.489435E-01 -1.568847E+00
     0.1000   -8.480919E-01  8.481541E-01 -1.558690E+00
     0.1500   -8.449927E-01  8.457425E-01 -1.528687E+00
     0.2000   -8.409510E-01  8.431409E-01 -1.498707E+00
     0.2500   -8.325143E-01  8.386075E-01 -1.450176E+00
     0.3000   -8.217198E-01  8.336085E-01 -1.401706E+00
     0.3500   -8.037998E-01  8.263745E-01 -1.336519E+00
     9.6500   -5.064613E-02  7.334363E-02  3.531974E+01
     9.7000   -6.616874E-02  7.860013E-02  3.555820E+01
     9.7500   -7.921546E-02  8.342369E-02  3.580934E+01
     9.8000   -8.752729E-02  8.767562E-02  3.607014E+01
     9.8500   -8.925062E-02  9.125624E-02  3.633836E+01
     9.9000   -8.328827E-02  9.409505E-02  3.661229E+01
     9.9500   -6.953370E-02  9.614418E-02  3.689065E+01
    10.0000   -4.894711E-02  9.737417E-02  3.717243E+01
    10.0500   -2.344746E-02  9.796499E-02  3.745742E+01
    10.1000    4.412625E-03  9.772010E-02  3.774428E+01
    10.1500    3.162129E-02  9.664629E-02  3.803244E+01
    10.2000    5.523216E-02  9.476091E-02  3.832135E+01
    10.2500    7.278622E-02  9.209091E-02  3.861053E+01
    10.3000    8.265668E-02  8.867221E-02  3.889945E+01
    10.3500    8.426228E-02  8.454905E-02  3.918752E+01
    10.4000    7.811658E-02  7.977360E-02  3.947408E+01
    10.4500    6.570792E-02  7.440578E-02  3.975827E+01
    10.5000    4.923275E-02  6.851342E-02  4.003894E+01
    10.5500    3.122830E-02  6.217313E-02  4.031447E+01
    10.6000    1.416634E-02  5.547242E-02  4.058247E+01
    10.6500    7.494494E-05  4.851445E-02  4.083916E+01
    10.7000   -9.750912E-03  4.142833E-02  4.107830E+01
    10.7500   -1.490499E-02  3.439246E-02  4.128894E+01
    10.8000   -1.586990E-02  2.768941E-02  4.145104E+01
    10.8500   -1.386622E-02  2.183493E-02  4.152877E+01
    10.9000   -1.058026E-02  1.780930E-02  4.147683E+01
    10.9500   -7.819787E-03  1.695200E-02  4.132015E+01
    11.0000   -7.158161E-03  1.955257E-02  4.121552E+01
    11.0500   -9.628711E-03  2.444748E-02  4.124552E+01
    11.1000   -1.561976E-02  3.037423E-02  4.138083E+01
    11.1500   -2.463666E-02  3.664247E-02  4.157809E+01
    11.2000   -3.540143E-02  4.290029E-02  4.181127E+01
    11.2500   -4.606090E-02  4.894941E-02  4.206625E+01
    11.3000   -5.450439E-02  5.466356E-02  4.233517E+01
    11.3500   -5.873628E-02  5.995424E-02  4.261341E+01
    11.4000   -5.723903E-02  6.475573E-02  4.289811E+01
    11.4500   -4.926392E-02  6.901803E-02  4.318741E+01
    11.5000   -3.499973E-02  7.270330E-02  4.348004E+01
    11.5500   -1.558999E-02  7.578393E-02  4.377510E+01
    11.6000    7.004124E-03  7.824138E-02  4.407194E+01
    11.6500    3.027298E-02  8.006543E-02  4.437004E+01
    11.7000    5.151564E-02  8.125353E-02  4.466903E+01
    11.7500    6.822736E-02  8.181032E-02  4.496856E+01
    11.8000    7.845588E-02  8.174706E-02  4.526837E+01
    11.8500    8.107190E-02  8.108116E-02  4.556821E+01
    11.9000    7.591361E-02  7.983566E-02  4.586784E+01
    11.9500    6.378688E-02  7.803869E-02  4.616705E+01
    12.0000    4.632544E-02  7.572296E-02  4.646559E+01
    12.0500    2.570289E-02  7.322394E-02  4.676523E+01
