  9809     SPring-8 14b2 
 Co-K_Co-foil_S  14.06.17 08:08 - 14.06.17 08:10
 Co-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 31.10606 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4501
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       31.00000  24.20000    -0.001510       0.03      4501
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   354.100   118.600
  30.14685  30.14356     0.030     11559      2733
  30.14534  30.14211     0.030     11596      2742
  30.14383  30.14075     0.030     11580      2738
  30.14232  30.13939     0.030     11592      2742
  30.14081  30.13783     0.030     11610      2746
  30.13930  30.13613     0.030     11572      2741
  30.13779  30.13448     0.030     11626      2752
  30.13628  30.13293     0.030     11606      2749
  30.13477  30.13154     0.030     11643      2753
  30.13326  30.13022     0.030     11632      2755
  30.13175  30.12878     0.030     11618      2750
  30.13024  30.12717     0.030     11665      2762
  30.12873  30.12548     0.030     11617      2755
  30.12722  30.12386     0.030     11676      2766
  30.12571  30.12237     0.030     11643      2760
  30.12420  30.12101     0.030     11661      2768
  30.12269  30.11968     0.030     11686      2768
  30.12118  30.11815     0.030     11676      2766
  30.11967  30.11648     0.030     11695      2775
  30.11816  30.11482     0.030     11677      2771
  30.11665  30.11323     0.030     11715      2778
  30.11514  30.11181     0.030     11692      2777
  30.11363  30.11047     0.030     11698      2777
  30.11212  30.10907     0.030     11722      2782
  30.11061  30.10748     0.030     11720      2782
  30.10910  30.10578     0.030     11741      2789
  30.10759  30.10415     0.030     11730      2785
  30.10608  30.10264     0.030     11741      2790
  30.10457  30.10127     0.030     11749      2791
  30.10306  30.09995     0.030     11748      2793
  30.10155  30.09847     0.030     11768      2797
