  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.73540  16.74179     0.051     11797      7606
  16.73456  16.74100     0.051     11789      7604
  16.73372  16.74028     0.051     11806      7614
  16.73288  16.73958     0.051     11794      7618
  16.73204  16.73885     0.051     11803      7619
  16.73120  16.73810     0.051     11803      7626
  16.73036  16.73729     0.051     11799      7627
  16.72952  16.73637     0.051     11816      7636
  16.72868  16.73546     0.051     11807      7637
  16.72784  16.73456     0.051     11818      7645
  16.72700  16.73364     0.051     11809      7641
  16.72616  16.73278     0.051     11821      7651
  16.72532  16.73195     0.051     11820      7654
  16.72448  16.73114     0.051     11813      7655
  16.72364  16.73041     0.051     11830      7666
  16.72280  16.72971     0.051     11823      7664
  16.72196  16.72898     0.051     11830      7675
  16.72112  16.72824     0.051     11828      7670
  16.72028  16.72745     0.051     11833      7679
  16.71944  16.72655     0.051     11833      7684
  16.71860  16.72564     0.051     11829      7681
  16.71776  16.72475     0.051     11839      7691
  16.71692  16.72383     0.051     11830      7692
  16.71608  16.72296     0.051     11840      7700
  16.71524  16.72214     0.051     11837      7700
  16.71440  16.72133     0.051     11843      7709
  16.71356  16.72058     0.051     11846      7708
  16.71272  16.71989     0.051     11840      7710
  16.71188  16.71917     0.051     11854      7717
  16.71104  16.71843     0.051     11841      7722
  16.71020  16.71766     0.051     11854      7724
  16.70936  16.71679     0.051     11856      7728
  16.70852  16.71587     0.051     11859      7730
  16.70768  16.71498     0.051     11858      7735
  16.70684  16.71407     0.051     11851      7734
  16.70600  16.71318     0.051     11867      7746
  16.70516  16.71235     0.051     11854      7744
  16.70432  16.71154     0.051     11864      7753
  16.70348  16.71077     0.051     11859      7757
  16.70264  16.71006     0.051     11869      7761
  16.70180  16.70935     0.051     11869      7764
  16.70096  16.70860     0.051     11861      7763
  16.70012  16.70783     0.051     11880      7776
  16.69928  16.70697     0.051     11860      7770
  16.69844  16.70605     0.051     11879      7778
  16.69760  16.70514     0.051     11876      7781
  16.69676  16.70423     0.051     11878      7791
  16.69592  16.70332     0.051     11877      7789
  16.69508  16.70248     0.051     11879      7793
  16.69424  16.70166     0.051     11892      7804
  16.69340  16.70088     0.051     11881      7799
  16.69256  16.70017     0.051     11889      7814
  16.69172  16.69947     0.051     11886      7811
  16.69088  16.69873     0.051     11895      7817
  16.69004  16.69798     0.051     11892      7817
  16.68920  16.69714     0.051     11889      7817
  16.68836  16.69622     0.051     11905      7831
  16.68752  16.69532     0.051     11895      7828
  16.68668  16.69442     0.051     11904      7837
  16.68584  16.69351     0.051     11901      7837
  16.68500  16.69266     0.051     11905      7842
  16.68416  16.69184     0.051     11907      7848
  16.68332  16.69105     0.051     11905      7849
  16.68248  16.69032     0.051     11917      7860
  16.68164  16.68963     0.051     11904      7853
  16.68080  16.68890     0.051     11919      7864
  16.67996  16.68815     0.051     11915      7867
